TomorrowWorld (Atlanta),"Atlanta, GA",2015-09-25,2015-09-27,https://soundcloud.com/tomorrowworld-2014-live-sets/sets/tomorrowworld-2014-live-sets,,past,"Avicii,Bassnectar,David Guetta,Dimitri Vegas & Like Mike,Diplo,Kaskade,Martin Garrix,Nicky Romero,Skrillex,Tiesto,Steve Aoki,Zedd,Showtek,Nervo,Tommy Trash,W&W,Dillon Francis,Ferry Corsten,Laidback Luke"
TomorrowLand (Belgium),"Boom, Belgium",2015-07-24,2015-07-26,https://soundcloud.com/tomorrowland-2014-live/sets/livesets-tomorrowland-2014-weekend-2,,past,"Dada Life, Deorro,Dimitri Vegas & Like Mike,Diplo,Dirty South,Dric Prydz,Nervo,Skrillex,Steve Aoki,3LAU,Afrojack,Alesso,Bingo Players,Carnage,Hardwell,Tiesto,Kaskade,Knife Party,Laidback Luke,Sandro Silva,Sick Individuals,David Guetta,Krewella,Nicky Romero,R3hab,Steve Angello"
Ultra Miami,"Miami, FL",2015-03-27,2015-03-29,https://soundcloud.com/tm-radio-mixes/sets/ultra-music-festival-2014,,past,"Above & Beyond,Afrojack,Alesso,Armin Van Buuren,Avicii,David Guetta,Diplo,Hardwell,Kaskade,Krewella,Luciano,Nicky Romero,Steve Angello,Tiesto,Zedd,Eric Prydz,Showtek,W&W,Sander Van Doorn"
EDC Vegas,"Las Vegas, NV",2015-06-20,2015-06-22,https://soundcloud.com/edc2014livesets/sets/edc-las-vegas-2014-live-sets,,past,"Armin Van Buuren,Hardwell,Steve Angello,Laidback Luke,Cedric Gervais,3lau,Madeon,Steve Aoki,Afrojack,Martin Garrix,Sander Van Doorn,Alesso,Tiesto,Kaskade,Krewella,Benny Benassi,Knife Party,Avicii,Bingo Players,Calvin Harris,R3hab,Above & Beyond,Deorro,Fedde Le Grand,W&W,Dash Berlin,Axwell,Sebastian Ingrosso"
EDC New York,"New York, NY",2015-05-23,2015-05-24,https://soundcloud.com/insomniacevents/sets/wide-awake-times-edc-new-york,,past,"Hardwell,Tiesto,Krewella,Martin Garrix,Cedric Gervais,Thomas Gold,3lau,Headhunterz,Jay Hardway,Afrojack,Steve Angello,R3hab,Calvin Harris,Tommy Trash,Sander Van Doorn,Sunnery James & Ryan Marciano,Cash Cash,Nero,Bassnectar"
