TomorrowWorld (Atlanta),"Atlanta, GA",9/25/15,9/27/15,https://soundcloud.com/tomorrowworld-2014-live-sets/sets/tomorrowworld-2014-live-sets,39951908,Past lineup,"Avicii,Bassnectar,David Guetta,Dimitri Vegas & Like Mike,Diplo,Kaskade,Martin Garrix,Nicky Romero,Skrillex,Tiesto,Steve Aoki,Zedd,Showtek,Nervo,Tommy Trash,W&W,Dillon Francis,Ferry Corsten,Laidback Luke"
TomorrowLand (Belgium),"Boom, Belgium",7/24/15,7/26/15,https://soundcloud.com/tomorrowland-2014-live/sets/livesets-tomorrowland-2014-weekend-2,,Past lineup,"Dada Life, Deorro,Dimitri Vegas & Like Mike,Diplo,Dirty South,Dric Prydz,Nervo,Skrillex,Steve Aoki,3LAU,Afrojack,Alesso,Bingo Players,Carnage,Hardwell,Tiesto,Kaskade,Knife Party,Laidback Luke,Sandro Silva,Sick Individuals,David Guetta,Krewella,Nicky Romero,R3hab,Steve Angello"
Ultra Miami,"Miami, FL",3/27/15,3/29/15,https://soundcloud.com/tm-radio-mixes/sets/ultra-music-festival-2014,28438813,Past lineup,"Above & Beyond,Afrojack,Alesso,Armin Van Buuren,Avicii,David Guetta,Diplo,Hardwell,Kaskade,Krewella,Luciano,Nicky Romero,Steve Angello,Tiesto,Zedd,Eric Prydz,Showtek,W&W,Sander Van Doorn"
EDC Vegas,"Las Vegas, NV",6/20/15,6/22/15,https://soundcloud.com/edc2014livesets/sets/edc-las-vegas-2014-live-sets,40825101,Past lineup,"Armin Van Buuren,Hardwell,Steve Angello,Laidback Luke,Cedric Gervais,3lau,Madeon,Steve Aoki,Afrojack,Martin Garrix,Sander Van Doorn,Alesso,Tiesto,Kaskade,Krewella,Benny Benassi,Knife Party,Avicii,Bingo Players,Calvin Harris,R3hab,Above & Beyond,Deorro,Fedde Le Grand,W&W,Dash Berlin,Axwell,Sebastian Ingrosso"
EDC New York,"New York, NY",5/23/2015,5/24/2015,https://soundcloud.com/insomniacevents/sets/wide-awake-times-edc-new-york,,Past lineup,"Hardwell,Tiesto,Krewella,Martin Garrix,Cedric Gervais,Thomas Gold,3lau,Headhunterz,Jay Hardway,Afrojack,Steve Angello,R3hab,Calvin Harris,Tommy Trash,Sander Van Doorn,Sunnery James & Ryan Marciano,Cash Cash,Nero,Bassnectar"
